clin_group,n,mean_priority,median_priority,am_coverage,sift_coverage,polyphen_coverage
VUS,585,0.3801339487179487,0.42419999999999997,0.9863247863247864,0.9948717948717949,0.21367521367521367
benign,31,0.09850709677419354,0.03328,0.9354838709677419,1.0,0.3548387096774194
likely_benign,132,0.1918363636363636,0.05456,0.8712121212121212,0.9621212121212122,0.24242424242424243
likely_pathogenic,160,0.67506075,0.74378,0.95625,0.9625,0.0
other,12,0.3929533333333333,0.48231999999999997,0.75,0.8333333333333334,0.0
pathogenic,514,0.46046918287937744,0.65076,0.9941634241245136,0.9961089494163424,0.16536964980544747
