clin_group,n,mean_priority,median_priority,sift_coverage,polyphen_coverage,am_coverage,conservation_coverage
VUS,585,0.48001604470399706,0.4919158620689655,0.9965811965811966,0.9931623931623932,0.8632478632478633,0.9982905982905983
benign,35,0.20505180655498104,0.161,0.9714285714285714,0.8571428571428571,0.6,1.0
likely_benign,149,0.28687120165682445,0.197,0.9060402684563759,0.7785234899328859,0.5838926174496645,0.9798657718120806
likely_pathogenic,160,0.8007785230911331,0.8669801724137931,0.9625,0.95625,0.90625,0.99375
other,12,0.44271747126436783,0.4833879310344828,0.8333333333333334,0.75,0.5833333333333334,0.8333333333333334
pathogenic,517,0.5792078079884121,0.669608275862069,0.9961315280464217,0.988394584139265,0.8955512572533849,0.9980657640232108
