clin_group,n,mean_priority,median_priority,sift_coverage,polyphen_coverage,am_coverage,majority_conservation_coverage
VUS,585,0.48336001935982936,0.4935,0.9965811965811966,0.9931623931623932,0.8632478632478633,0.9982905982905983
benign,35,0.20774659772008594,0.1636055172413793,0.9714285714285714,0.8571428571428571,0.6,1.0
likely_benign,149,0.29014429093865013,0.20241827586206895,0.9060402684563759,0.7785234899328859,0.5838926174496645,0.9798657718120806
likely_pathogenic,160,0.8013812016625617,0.8669801724137931,0.9625,0.95625,0.90625,0.99375
other,12,0.4453036781609196,0.48338793103448274,0.8333333333333334,0.75,0.5833333333333334,0.8333333333333334
pathogenic,517,0.5816639225520305,0.67002,0.9961315280464217,0.988394584139265,0.8955512572533849,0.9980657640232108
