clin_group,n,mean_priority,median_priority,conservation_coverage,physchem_coverage,am_coverage
VUS,585,0.4416595355230971,0.4705513793103448,0.9982905982905983,1.0,0.9863247863247864
benign,31,0.20517855006723984,0.1636055172413793,1.0,1.0,0.9354838709677419
likely_benign,132,0.28627316489814103,0.20907775862068967,0.9772727272727273,1.0,0.8712121212121212
likely_pathogenic,160,0.6968733334359606,0.7336800000000001,0.99375,1.0,0.95625
other,12,0.42697936781609197,0.4971279310344828,0.8333333333333334,1.0,0.75
pathogenic,514,0.5114752850196966,0.6264089655172413,0.9980544747081712,1.0,0.9941634241245136
