clin_group,n,mean_priority,median_priority,conservation_coverage,am_coverage
VUS,585,0.44080961244617406,0.47947775862068964,0.9982905982905983,0.9863247863247864
benign,31,0.1739556468414334,0.12132444444444444,1.0,0.9354838709677419
likely_benign,132,0.2641466497466259,0.15106577586206899,0.9772727272727273,0.8712121212121212
likely_pathogenic,160,0.7268293646859606,0.7866825,0.99375,0.95625
other,12,0.44061936781609196,0.5399179310344827,0.8333333333333334,0.75
pathogenic,514,0.5172523180936265,0.6765842241379311,0.9980544747081712,0.9941634241245136
